user_id,login_time,logout_time,session_duration,file_upload_count,file_download_count,ip_change_count,failed_login_attempts,work_hours_consistency,label
user_4,10.096715139491813,16.91094276748145,6.81422762798964,0,10,1,0,0.8784477492674612,normal
user_43,11.430684664502905,18.672536434072967,7.24185176957006,0,14,1,9,0.7046643933857856,suspicious
user_16,12.538793162436228,13.621561538189408,1.0827683757531803,1,7,1,0,0.5990594813511856,normal
user_13,16.270235272225094,18.19230300980672,1.9220677375816297,3,9,1,0,0.7762933606438193,normal
user_6,12.071558397612378,14.606339484084302,2.5347810864719236,2,9,1,0,0.6219583571482461,normal
user_9,17.219528609437482,17.617154692461924,0.39762608302444136,1,9,1,0,0.6276150060217685,normal
user_7,14.951366682056923,15.959291848071,1.0079251660140764,0,13,1,0,0.8464806741245972,normal
user_9,10.35325280250484,15.579398867639384,5.226146065134544,5,11,5,0,0.7204492493731304,suspicious
user_10,16.37187093184309,17.54945742134169,1.177586489498598,0,13,1,10,0.9919898361007569,suspicious
user_15,8.027543590076606,14.65422053985888,6.626676949782275,0,11,1,0,0.9331995817653274,normal
user_48,16.58373334914145,23.145624603885825,6.561891254744373,1,4,0,0,0.18706569222975755,normal
user_45,16.726645354154357,0.7191074022092003,7.992462048054843,3,14,9,0,0.3433320012285814,suspicious
user_41,13.499503859586905,20.74833689697314,7.248833037386235,0,10,0,0,0.9415941470342309,normal
user_3,17.288664297815675,21.218268600539268,3.9296043027235923,1,15,0,0,0.7167924898033678,normal
user_7,12.901460130940496,15.270102890128648,2.3686427591881527,0,13,1,0,0.749422772325884,normal
user_44,15.803221587444764,16.16145956275477,0.3582379753100079,0,9,0,0,0.6655841185200886,normal
user_3,1.514254923557079,9.45462483108462,7.940369907527542,0,7,1,0,0.7451539809648307,suspicious
user_15,17.194377958095405,22.079631183179966,4.885253225084562,1,1,0,0,0.2355670818868826,normal
user_17,17.919155352116846,19.429325122096138,1.510169769979294,5,3,1,0,0.639291937180186,normal
user_6,12.620471345552954,3.358822184816436,14.738350839263482,0,4,1,9,0.9645247436130227,suspicious
user_7,11.522177502531306,16.69345603987309,5.1712785373417836,2,7,1,0,0.6876463013774131,normal
user_46,8.881775663704529,15.29296830947683,6.411192645772302,0,8,8,0,0.5228474629725929,suspicious
user_34,12.02913756267994,21.016973368730305,8.987835806050363,1,15,1,0,0.37142076536770424,normal
user_29,11.847080136776075,20.0764675324983,8.229387395722226,0,7,0,0,0.6909357908138092,normal
user_24,14.228154353607248,17.846063626487425,3.617909272880177,0,13,6,10,0.5596885021768001,suspicious
user_38,13.701608303895295,14.962690500907861,1.2610821970125654,6,8,0,0,0.5464985983509835,normal
user_4,15.948981729360774,18.65812334848007,2.709141619119297,2,12,1,0,0.697219457965374,normal
user_34,17.250471681072824,19.706503288246804,2.45603160717398,6,4,1,0,0.9397094009432982,normal
user_47,12.315578942245374,19.24266860308083,6.927089660835458,0,5,0,0,0.23720502701274582,normal
user_33,23.682022460802585,7.398137087754485,7.7161146269518985,19,59,7,0,0.5352783452998523,suspicious
user_31,11.14971653892685,17.338006424152823,6.188289885225973,0,11,1,0,0.6558235365521471,normal
user_9,14.334156955378859,23.283930696528863,8.949773741150004,12,193,1,0,0.6649039496061941,normal
user_38,11.275233085276621,15.411848604250785,4.136615518974164,3,7,1,0,0.649821295364936,normal
user_46,13.817895048100699,18.681934609347387,4.864039561246689,1,19,0,0,0.76751413344692,normal
user_32,0.7625590643033314,1.1905637979643542,0.42800473366102276,0,-1,1,0,0.6001432573477066,suspicious
user_45,15.76953810534916,22.09207385152145,6.322535746172292,0,9,1,0,0.98675586741989,normal
user_11,12.247920355931633,15.989393209979113,3.7414728540474806,1,9,0,0,0.9728584122304298,normal
user_5,11.623357950424,18.522734641788723,6.899376691364722,1,10,1,0,0.6722424386412531,normal
user_2,9.20580081854224,10.454770674156595,1.248969855614356,0,6,0,0,0.7145018108425012,normal
user_2,8.081131189507362,13.171577872109355,5.090446682601993,0,6,1,0,0.7274871709131646,normal
user_47,16.754933984644104,0.9205802658328786,8.165646281188774,0,4,1,0,0.5075098616049638,normal
user_14,11.135447446073623,11.300135071836594,0.1646876257629704,44,113,1,0,0.05430281824124879,suspicious
user_34,3.04009323396476,6.340813739904675,3.300720505939915,1,10,0,0,0.7014970580056333,suspicious
user_23,12.049368541662483,20.81968884415641,8.770320302493925,2,17,0,0,0.5659724347385998,normal
user_39,12.496986935653304,12.662030780462224,0.16504384480892031,1,11,1,0,0.846864752445361,normal
user_39,10.74219173903738,17.755601282182575,7.013409543145194,1,13,0,0,0.10419811497230667,normal
user_35,10.40626700570238,13.965478100300604,3.5592110945982247,0,7,0,8,0.8121299818143699,suspicious
